yyyy,Datum,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,Ret,ExRetCR
1989,1989,353.4,11.05,22.87,0.390454744,0.0763,0.0886,0.0982,0.0816,0.257872027,-0.012320164,0.080843063,0.046366161,0.097787238,0.180974998,0.162313634,0.017238884,-0.002928834,0.034782559,0.313931063,0.267450144,0.237007122,0.159265771
1990,1990,330.22,12.09,21.34,0.48449686,0.0674,0.0905,0.1043,0.0844,0.275964393,-0.001736934,0.074699886,0.060849892,0.078345326,0.0616925,0.067827349,0.02545019,-0.002338233,0.032935414,-0.032031358,-0.066037437,-0.068318924,-0.140360371
1991,1991,417.09,12.2,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.265667625,0.031638371,0.053628596,0.030591052,0.152766953,0.1926494,0.198889668,0.020679681,-0.001253216,0.030481962,0.306783185,0.266005888,0.235866975,0.183626962
1992,1992,435.71,12.38,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.260650659,0.038816455,0.034267091,0.028958759,0.150194882,0.080535796,0.093934337,0.009422463,-0.001111524,0.032395894,0.07732001,0.046014844,0.044987557,0.011294506
1993,1993,466.45,12.58,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.267783574,0.045852722,0.029937608,0.0274382,0.144115072,0.182345818,0.13185004,0.007417884,-0.001012497,0.034183157,0.098863199,0.06869402,0.066437361,0.036939135
1994,1994,459.27,13.18,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.280599024,0.01665684,0.042389248,0.026709258,0.120390285,-0.077770776,-0.057610696,0.009652285,-0.000576007,0.036080241,0.013489877,-0.014677714,-0.014786497,-0.05630193
1995,1995,615.93,13.79,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.261895501,0.015583024,0.054774632,0.025341322,0.12124072,0.316564929,0.272042355,0.006427151,-0.000146604,0.037068534,0.376443929,0.342424502,0.294477309,0.241150184
1996,1996,740.74,14.9,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.255238764,0.023234348,0.049954184,0.03316242,0.198665864,-0.009184554,0.01401567,0.014077611,-0.000396755,0.039388313,0.232287102,0.205480671,0.186878384,0.138131856
1997,1997,970.43,15.49,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.237953475,0.01528693,0.050501888,0.016999183,0.142700117,0.158659371,0.129494216,0.033200071,-0.000888779,0.041289478,0.336038827,0.31273426,0.272112183,0.222844145
1998,1998,1229.23,16.2,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.218931613,0.019813482,0.047671374,0.016104074,0.120658603,0.130704037,0.10755564,0.041258121,-0.001033873,0.042801413,0.293202322,0.273932312,0.242108425,0.195538463
1999,1999,1469.25,16.69,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.202985407,0.016637769,0.046293618,0.026789226,0.13845605,-0.089898841,-0.074542595,0.03267786,0.000064278,0.042895459,0.213496063,0.197744045,0.180439825,0.135185793
2000,2000,1320.28,16.27,50,0.151851504,0.0577,0.0721,0.0802,0.0558,0.223780686,-0.005351817,0.058025901,0.033777383,0.140989561,0.214934372,0.128545365,0.049216564,-0.000524853,0.042964631,-0.083382238,-0.093932429,-0.098641394,-0.155046208
2001,2001,1148.08,15.74,24.69,0.131217846,0.0169,0.0677,0.0805,0.0575,0.242224975,0.015639337,0.033830765,0.015437319,0.086543116,0.037027522,0.106366572,0.045605696,-0.001336167,0.036503401,-0.118897439,-0.130679438,-0.140043336,-0.173314428
2002,2002,879.82,16.077,27.59,0.295385896,0.0119,0.0621,0.0745,0.0484,0.247071299,0.031038492,0.016030812,0.023714888,0.082027658,0.178413928,0.166415175,0.067692321,-0.004144305,0.032821942,-0.217783544,-0.23061326,-0.262161523,-0.278065198
2003,2003,1111.92,17.385,48.74,0.218769519,0.009,0.0562,0.066,0.0515,0.222012988,0.007395003,0.01010403,0.018755168,0.072423089,0.008959396,0.052725551,0.029260779,NaN,0.033375895,0.287151094,0.264139313,0.234391506,0.22433818
2004,2004,1211.92,19.44,58.55,0.26059514,0.0219,0.0547,0.0615,0.0484,0.218650685,0.013046305,0.013802408,0.032555616,0.078297462,0.084973184,0.087211543,0.012291436,NaN,0.034467107,0.109835832,0.08740651,0.083795512,0.07008749
2005,2005,1248.29,22.22,69.93,0.328341498,0.0389,0.0537,0.0632,0.0461,0.224320778,0.003735874,0.031923395,0.034156595,0.051071208,0.078075593,0.058722731,0.010540586,NaN,0.03501077,0.051973413,0.032722054,0.032198087,0.000773652
